"Rank","Name","Symbol","marketcap","price (USD)","country"
"105","Granite Real Estate","GRP-UN","3532044032","55.41","Canada"
"106","Capital Power","CPX.TO","3491974468","29.86","Canada"
"107","Paramount Resources","POU.TO","3403873877","23.77","Canada"
"108","Bombardier","BBD-B.TO","3263550196","34.15","Canada"
"109","Kinaxis","KXS.TO","3198478432","112.57","Canada"
"110","Premium Brands","PBH.TO","3196728836","71.63","Canada"
"111","NexGen Energy","NXE","3134857728","6.38","Canada"
"112","Bausch Health","BHC","3008940032","8.25","Canada"
"113","ATCO","ACO-X.TO","3008282003","26.54","Canada"
"114","Linamar","LNR.TO","2988330594","48.57","Canada"
"115","Capstone Copper","CS.TO","2959699389","4.26","Canada"
"116","Methanex","MEOH","2956950528","43.88","Canada"
"117","SmartCentres REIT","SRU-UN.TO","2944097915","17.29","Canada"
"118","SSR Mining","SSRM","2929985536","14.36","Canada"
"119","BlackBerry","BB","2910367488","4.99","Canada"
"120","Lithium Americas","LAC","2847819008","17.81","Canada"
"121","Lundin Gold","LUG.TO","2834808244","11.93","Canada"
"122","Capstone Infrastructure","CSE-PA.TO","2783103706","9.14","Canada"
"123","Dream Industrial REIT","DIR-UN.TO","2764377090","9.84","Canada"
"124","Celestica","CLS","2748146944","23.03","Canada"
"125","Stella-Jones","SJ.TO","2711748702","46.73","Canada"
"126","Triple Flag Precious Metals","TFPM","2666861312","13.21","Canada"
"127","Spin Master","TOY.TO","2592107669","25.02","Canada"
"128","Boardwalk Real Estate Investment Trust","BEI-UN.TO","2491982825","49.64","Canada"
"129","CT REIT","CRT-UN.TO","2453099688","10.43","Canada"
"130","TransAlta","TAC","2419343104","9.18","Canada"
"131","Maple Leaf Foods","MFI.TO","2407667784","19.72","Canada"
"132","E-L Financial","ELF.TO","2402994558","676.44","Canada"
"133","Vermilion Energy","VET","2382610944","14.5","Canada"
"134","Boralex","BLX.TO","2367487697","23.04","Canada"
"135","Topaz Energy","TPZ.TO","2353280521","16.28","Canada"
"136","Osisko Gold Royalties","OR","2302034432","12.44","Canada"
"137","Xenon Pharmaceuticals","XENE","2264977664","35.31","Canada"
"138","Lightspeed POS","LSPD","2197559296","14.43","Canada"
"139","First Capital REIT","FCR-UN.TO","2167448422","10.21","Canada"
"140","Tricon Residential","TCN","2150237952","7.89","Canada"
"141","EQB (Equitable Bank)","EQB.TO","2130018294","56.45","Canada"
"142","Gibson Energy","GEI.TO","2114399018","14.93","Canada"
"143","NuVista Energy","NVA.TO","2111443379","9.77","Canada"
"144","Nuvei","NVEI","2108728448","15.15","Canada"
"145","Cogeco","CCA.TO","2073661552","46.62","Canada"
"146","Telus International","TIXT","2071780096","7.56","Canada"
"147","H&amp;R REIT","HR-UN.TO","2013982322","7.19","Canada"
"148","Canadian Western Bank","CWB.TO","2013538957","20.89","Canada"
"149","Parex Resources","PXT.TO","1996806061","18.89","Canada"
"150","Superior Plus","SPB.TO","1982669906","7.95","Canada"
"151","Eldorado Gold","EGO","1945379584","9.59","Canada"
"152","Filo Mining","FIL.TO","1905324270","14.58","Canada"
"153","Winpak","WPK.TO","1898979099","29.22","Canada"
"154","BELLUS Health","BLU","1869208832","14.74","Canada"
"155","Chartwell Retirement Residences","CSH-UN.TO","1861309202","7.73","Canada"
"156","Tilray","TLRY","1851443456","2.57","Canada"
"157","China Gold International Resources","CGG.TO","1812412956","4.57","Canada"
"158","Innergex Renewable Energy","INE.TO","1803905506","8.83","Canada"
"159","Fairfax India Holdings","FIH-U.TO","1788023040","13.08","Canada"
"160","Aritzia","ATZ.TO","1776085463","16.04","Canada"
"161","Allied Properties REIT","AP-UN.TO","1770198429","13.83","Canada"
"162","Russel Metals","RUS.TO","1718322870","28.03","Canada"
"163","Crombie Real Estate Investment Trust","CRR-UN.TO","1713982404","9.53","Canada"
"164","Secure Energy Services","SES.TO","1694395384","5.77","Canada"
"165","Freehold Royalties","FRU.TO","1689930109","11.22","Canada"
"166","Peyto Exploration &amp; Development","PEY.TO","1651491473","9.4","Canada"
"167","Altus Group","AIF.TO","1643108074","36.18","Canada"
"168","Ero Copper","ERO","1641461632","17.61","Canada"
"169","Richelieu Hardware","RCH.TO","1632566942","29.22","Canada"
"170","Canadian Solar","CSIQ","1629268224","25.2","Canada"
"171","Hudbay Minerals","HBM","1622222208","4.65","Canada"
"172","First National Financial","FN.TO","1606435890","26.79","Canada"
"173","Tamarack Valley Energy","TVE.TO","1605165833","2.89","Canada"
"174","Ivanhoe Electric","IE","1590990592","13.54","Canada"
"175","Labrador Iron Ore Royalty Corp.","LIF.TO","1573366871","24.58","Canada"
"176","Uni-Select","UNS.TO","1556579999","35.48","Canada"
"177","Killam Apartment REIT","KMP-UN.TO","1551790960","13.2","Canada"
"178","Canada Goose","GOOS","1548930944","14.97","Canada"
"179","Canfor","CFP.TO","1524836813","12.7","Canada"
"180","Exchange Income Corporation","EIF.TO","1524355949","32.75","Canada"
"181","Stelco","STLC.TO","1516791761","27.51","Canada"
"182","Birchcliff Energy","BIR.TO","1503121888","5.64","Canada"
"183","First Majestic Silver","AG","1449178496","5.05","Canada"
"184","Sandstorm Gold","SAND","1438786432","4.85","Canada"
"185","Denison Mines","DNN","1437706752","1.72","Canada"
"186","NovaGold Resources","NG","1426747904","4.27","Canada"
"187","Teekay Tankers","TNK","1387540096","40.81","Canada"
"188","AbCellera","ABCL","1380228096","4.77","Canada"
"189","InterRent Real Estate Investment Trust","IIP-UN.TO","1374720852","9.32","Canada"
"190","Equinox Gold","EQX","1367578368","4.37","Canada"
